date,time-in,time-out,shift_total,lunch,daily_total,transaction
2014-08-26,08:34:00,17:10:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-27,08:32:00,17:00:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-28,08:47:00,17:15:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-29,08:42:00,15:30:00,06:15:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-08-29,15:30:00,17:10:00,01:45:00,00:00:00,08:00:00,66 - Administrative Leave - Agency Directed
2014-09-01,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2014-09-02,08:46:00,17:10:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-03,08:44:00,17:10:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-04,08:44:00,17:15:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-05,08:44:00,17:15:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-08,08:15:00,16:47:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-09,08:30:00,17:00:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-10,08:30:00,17:00:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-11,08:48:00,17:25:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-12,08:50:00,17:26:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-15,08:45:00,17:20:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-16,08:36:00,17:10:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-17,09:00:00,17:33:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-18,09:03:00,17:40:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-19,08:58:00,17:25:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-22,08:46:00,17:20:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-23,08:45:00,17:20:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-24,09:06:00,17:35:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-25,09:05:00,17:35:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-26,09:11:00,17:45:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-29,08:52:00,17:23:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-09-30,08:57:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-01,08:46:00,17:20:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-02,08:57:00,17:33:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-03,08:56:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-06,08:49:00,17:25:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-07,08:47:00,17:24:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-08,08:44:00,19:00:00,09:45:00,00:30:00,09:45:00,01 - Regular Base Pay
2014-10-09,09:01:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-10,08:49:00,17:22:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-13,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2014-10-14,08:48:00,17:55:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2014-10-15,09:01:00,17:01:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2014-10-16,08:54:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-17,08:41:00,15:33:00,06:15:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-17,15:33:00,17:18:00,01:45:00,00:00:00,08:00:00,29 - Credit Time Earned
2014-10-20,08:56:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-10-21,08:52:00,17:30:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-10-22,08:50:00,17:30:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-10-23,08:55:00,17:59:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2014-10-24,08:54:00,17:10:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2014-10-27,08:49:00,17:30:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-10-28,08:20:00,16:30:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2014-10-29,08:58:00,17:15:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2014-10-30,08:57:00,17:00:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2014-10-31,08:55:00,17:19:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-03,08:58:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-04,08:46:00,17:30:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-11-05,09:05:00,17:40:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-06,09:01:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-07,08:50:00,17:04:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2014-11-10,09:03:00,17:38:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-11,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2014-11-12,08:59:00,17:31:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-13,08:50:00,17:30:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-11-14,09:00:00,17:15:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2014-11-17,09:05:00,17:32:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-18,08:50:00,17:27:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-19,08:50:00,17:25:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-20,09:00:00,17:51:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-11-21,09:00:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-24,08:15:00,16:35:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2014-11-25,08:45:00,17:20:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-26,09:01:00,15:30:00,06:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-11-26,15:30:00,17:30:00,02:00:00,00:00:00,08:00:00,66 - Administrative Leave - Agency Directed
2014-11-27,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2014-11-28,08:48:00,17:20:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-01,08:48:00,17:30:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-12-02,09:06:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-03,08:54:00,17:29:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-04,09:02:00,17:35:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-05,08:54:00,17:35:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-12-08,08:55:00,17:44:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2014-12-09,09:10:00,17:35:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-10,08:56:00,17:03:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2014-12-11,08:54:00,17:28:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-12,09:02:00,17:16:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2014-12-15,09:02:00,17:35:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-16,08:37:00,17:09:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-17,09:02:00,16:00:00,06:30:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-17,16:00:00,17:30:00,01:30:00,00:00:00,08:00:00,50 - Credit Hours Used
2014-12-18,09:08:00,17:38:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-19,09:14:00,17:40:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-22,09:02:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-23,08:45:00,17:15:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-24,09:00:00,14:30:00,05:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-24,14:30:00,17:30:00,03:00:00,00:00:00,08:00:00,66 - Administrative Leave - Agency Directed
2014-12-25,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2014-12-26,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2014-12-29,08:55:00,17:28:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-30,09:04:00,17:40:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-31,09:10:00,15:40:00,06:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2014-12-31,15:40:00,17:40:00,02:00:00,00:00:00,08:00:00,66 - Administrative Leave - Agency Directed
2015-01-01,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2015-01-02,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,61 - Annual Leave Taken
2015-01-05,08:54:00,17:50:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-01-06,09:15:00,17:45:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-07,09:00:00,18:02:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-01-08,09:15:00,17:15:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2015-01-09,08:50:00,16:50:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2015-01-12,08:58:00,10:58:00,02:00:00,00:00:00,08:00:00,66 - Administrative Leave - Agency Directed
2015-01-12,10:58:00,17:30:00,06:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-13,08:59:00,17:35:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-14,09:00:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-15,09:04:00,17:35:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-16,09:04:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-19,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2015-01-20,08:58:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-21,08:58:00,17:35:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-22,08:58:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-23,08:59:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-01-26,09:03:00,18:01:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-01-27,08:48:00,09:48:00,01:00:00,00:00:00,07:15:00,66 - Administrative Leave - Agency Directed
2015-01-27,09:48:00,16:30:00,06:15:00,00:30:00,07:15:00,01 - Regular Base Pay
2015-01-28,09:00:00,17:50:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-01-29,08:55:00,17:45:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-01-30,09:05:00,18:00:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-02-02,09:10:00,18:45:00,09:00:00,00:30:00,09:00:00,01 - Regular Base Pay
2015-02-03,09:05:00,17:45:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-02-04,08:48:00,15:10:00,05:45:00,00:30:00,05:45:00,01 - Regular Base Pay
2015-02-05,09:20:00,18:15:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-02-06,09:07:00,17:20:00,07:45:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-02-06,17:20:00,18:05:00,00:45:00,00:00:00,08:30:00,29 - Credit Time Earned
2015-02-09,08:53:00,17:55:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-02-10,09:01:00,17:40:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-02-11,08:55:00,17:50:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-02-12,08:45:00,17:02:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2015-02-13,09:08:00,17:00:00,07:15:00,00:30:00,07:15:00,01 - Regular Base Pay
2015-02-16,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2015-02-17,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Administrative Leave - Agency Directed
2015-02-18,09:12:00,18:00:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-02-19,09:01:00,17:00:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2015-02-20,09:03:00,17:30:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-02-23,08:45:00,17:40:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-02-24,08:57:00,17:10:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2015-02-25,09:01:00,17:33:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-02-26,08:50:00,10:22:00,01:30:00,00:00:00,08:15:00,66 - Administrative Leave - Agency Directed
2015-02-26,10:22:00,17:40:00,06:45:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-02-27,08:50:00,17:41:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-03-02,09:10:00,17:45:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-03-03,08:23:00,17:21:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-03-04,08:59:00,17:25:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-03-05,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Administrative Leave - Agency Directed
2015-03-06,08:50:00,09:52:00,01:00:00,00:00:00,07:15:00,66 - Administrative Leave - Agency Directed
2015-03-06,09:52:00,16:00:00,05:45:00,00:30:00,07:15:00,01 - Regular Base Pay
2015-03-06,16:00:00,16:30:00,00:30:00,00:00:00,07:15:00,29 - Credit Time Earned
2015-03-09,08:42:00,17:30:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-03-10,09:20:00,18:02:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-03-11,09:25:00,18:03:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-03-12,08:55:00,18:46:00,09:15:00,00:30:00,09:15:00,01 - Regular Base Pay
2015-03-13,08:58:00,17:02:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2015-03-16,08:56:00,16:43:00,07:15:00,00:30:00,07:15:00,01 - Regular Base Pay
2015-03-17,08:58:00,17:22:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-03-18,08:43:00,16:15:00,07:00:00,00:30:00,07:15:00,01 - Regular Base Pay
2015-03-18,16:15:00,16:30:00,00:15:00,00:00:00,07:15:00,50 - Credit Hours Used
2015-03-19,09:07:00,17:40:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-03-20,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,61 - Annual Leave Taken
2015-03-23,08:19:00,16:58:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-03-24,08:58:00,17:38:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-03-25,09:03:00,18:13:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-03-26,08:54:00,18:09:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-03-27,09:28:00,16:30:00,06:30:00,00:30:00,06:30:00,01 - Regular Base Pay
2015-03-30,09:09:00,17:00:00,07:15:00,00:30:00,07:15:00,01 - Regular Base Pay
2015-03-31,09:17:00,17:32:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2015-04-01,09:13:00,17:40:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-04-02,09:06:00,17:36:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-04-03,09:10:00,18:10:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-04-06,09:06:00,17:41:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-04-07,08:57:00,18:20:00,09:00:00,00:30:00,09:00:00,01 - Regular Base Pay
2015-04-08,09:03:00,16:33:00,07:00:00,00:30:00,07:00:00,01 - Regular Base Pay
2015-04-09,09:30:00,18:20:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-04-10,09:06:00,13:34:00,04:00:00,00:30:00,04:15:00,01 - Regular Base Pay
2015-04-10,13:34:00,13:49:00,00:15:00,00:00:00,04:15:00,01 - Regular Base Pay
2015-04-13,08:52:00,18:00:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-04-14,08:10:00,17:49:00,09:15:00,00:30:00,09:15:00,01 - Regular Base Pay
2015-04-15,08:33:00,17:56:00,09:00:00,00:30:00,09:00:00,01 - Regular Base Pay
2015-04-16,09:10:00,17:39:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-04-17,08:49:00,17:45:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-04-20,08:44:00,17:42:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-04-21,08:57:00,17:28:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-04-22,08:43:00,17:39:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-04-23,08:58:00,17:29:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-04-24,08:49:00,17:48:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-04-27,09:00:00,12:17:00,03:15:00,00:00:00,09:15:00,62 - Sick Leave Taken
2015-04-27,12:17:00,18:50:00,06:00:00,00:30:00,09:15:00,01 - Regular Base Pay
2015-04-28,08:32:00,17:44:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-04-29,08:45:00,16:31:00,07:15:00,00:30:00,07:15:00,01 - Regular Base Pay
2015-04-30,08:50:00,18:17:00,09:00:00,00:30:00,09:00:00,01 - Regular Base Pay
2015-05-01,08:49:00,13:33:00,04:15:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-05-01,13:33:00,17:48:00,04:15:00,00:00:00,08:30:00,29 - Credit Time Earned
2015-05-04,08:03:00,17:33:00,09:00:00,00:30:00,09:00:00,01 - Regular Base Pay
2015-05-05,08:40:00,17:42:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-05-06,09:07:00,18:03:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-05-07,08:31:00,17:41:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-05-08,08:53:00,17:16:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-05-11,08:32:00,17:06:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-05-12,08:38:00,17:20:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-05-13,08:43:00,17:05:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2015-05-14,08:52:00,18:03:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-05-15,09:03:00,14:03:00,04:30:00,00:30:00,06:45:00,01 - Regular Base Pay
2015-05-15,14:03:00,16:18:00,02:15:00,00:00:00,06:45:00,29 - Credit Time Earned
2015-05-18,09:11:00,17:30:00,07:45:00,00:30:00,07:45:00,01 - Regular Base Pay
2015-05-19,08:55:00,17:39:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-05-20,08:40:00,17:30:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-05-21,09:11:00,17:47:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-05-22,09:11:00,16:00:00,06:15:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-05-22,16:00:00,17:41:00,01:45:00,00:00:00,08:00:00,66 - Administrative Leave - Agency Directed
2015-05-25,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2015-05-26,09:00:00,18:22:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-05-27,08:46:00,17:40:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-05-28,08:45:00,18:00:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-05-29,08:50:00,14:58:00,05:45:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-05-29,14:58:00,17:28:00,02:30:00,00:00:00,08:15:00,29 - Credit Time Earned
2015-06-01,08:20:00,18:37:00,09:45:00,00:30:00,09:45:00,01 - Regular Base Pay
2015-06-02,08:40:00,19:03:00,10:00:00,00:30:00,10:00:00,01 - Regular Base Pay
2015-06-03,08:51:00,18:13:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-06-04,09:17:00,19:43:00,10:00:00,00:30:00,10:00:00,01 - Regular Base Pay
2015-06-05,09:13:00,16:09:00,06:30:00,00:30:00,06:30:00,01 - Regular Base Pay
2015-06-08,08:44:00,16:31:00,07:15:00,00:30:00,07:15:00,01 - Regular Base Pay
2015-06-09,08:53:00,18:15:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-06-10,08:55:00,17:40:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-06-11,09:06:00,17:05:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2015-06-12,09:00:00,12:15:00,03:15:00,00:00:00,03:15:00,50 - Credit Hours Used
2015-06-15,08:55:00,18:15:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-06-16,08:52:00,17:30:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-06-17,08:56:00,16:47:00,07:15:00,00:30:00,07:15:00,01 - Regular Base Pay
2015-06-18,09:20:00,18:37:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-06-19,09:04:00,17:07:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2015-06-22,09:09:00,18:03:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-06-23,08:07:00,18:22:00,09:45:00,00:30:00,09:45:00,01 - Regular Base Pay
2015-06-24,08:34:00,17:26:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-06-25,08:45:00,17:23:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-06-26,09:25:00,14:43:00,04:45:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-06-26,14:43:00,18:13:00,03:30:00,00:00:00,08:15:00,29 - Credit Time Earned
2015-06-29,08:24:00,17:35:00,08:45:00,00:30:00,08:45:00,01 - Regular Base Pay
2015-06-30,09:00:00,17:40:00,08:15:00,00:30:00,08:15:00,01 - Regular Base Pay
2015-07-01,08:35:00,17:30:00,08:30:00,00:30:00,08:30:00,01 - Regular Base Pay
2015-07-02,08:58:00,15:30:00,06:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-07-02,15:30:00,17:30:00,02:00:00,00:00:00,08:00:00,66 - Administrative Leave - Agency Directed
2015-07-03,08:00:00,16:00:00,08:00:00,00:00:00,08:00:00,66 - Other Leave-Federal Holiday
2015-07-06,08:58:00,17:35:00,08:00:00,00:30:00,08:00:00,01 - Regular Base Pay
2015-07-07,09:15:00,17:11:00,07:30:00,00:30:00,07:30:00,01 - Regular Base Pay
2015-07-08,08:56:00,18:45:00,09:15:00,00:30:00,09:15:00,01 - Regular Base Pay
2015-07-09,08:50:00,18:54:00,09:30:00,00:30:00,09:30:00,01 - Regular Base Pay
